id,label,x_min,y_min,x_max,y_max,b_center_x,b_center_y,b_width,b_height,image_w,image_h,split
00041090,1,157,224,199,265,0.7416666666666667,1.01875,0.175,0.17083333333333334,240,240,train
00041090,3,159,317,203,346,0.7541666666666667,1.38125,0.18333333333333332,0.12083333333333333,240,240,train
00041090,2,293,418,349,451,1.3375,1.8104166666666666,0.23333333333333334,0.1375,240,240,train
00041090,3,297,363,337,393,1.3208333333333333,1.575,0.16666666666666666,0.125,240,240,train
00041090,5,199,147,240,181,0.9145833333333333,0.6833333333333333,0.17083333333333334,0.14166666666666666,240,240,train
00041090,6,208,39,255,72,0.9645833333333333,0.23125,0.19583333333333333,0.1375,240,240,train
00041090,4,354,356,387,387,1.54375,1.5479166666666666,0.1375,0.12916666666666668,240,240,train
00041090,4,93,421,122,463,0.4479166666666667,1.8416666666666666,0.12083333333333333,0.175,240,240,train
00041090,3,134,463,173,501,0.6395833333333333,2.0083333333333333,0.1625,0.15833333333333333,240,240,train
20085242,1,305,457,344,497,1.3520833333333333,1.9875,0.1625,0.16666666666666666,240,240,train
20085242,1,114,534,144,573,0.5375,2.30625,0.125,0.1625,240,240,train
20085242,2,203,554,233,615,0.9083333333333333,2.435416666666667,0.125,0.25416666666666665,240,240,train
20085242,2,460,443,494,488,1.9875,1.9395833333333334,0.14166666666666666,0.1875,240,240,train
20085242,3,503,531,536,561,2.1645833333333333,2.275,0.1375,0.125,240,240,train
20085242,4,202,467,252,503,0.9458333333333333,2.0208333333333335,0.20833333333333334,0.15,240,240,train
20085242,5,321,399,352,435,1.4020833333333333,1.7375,0.12916666666666668,0.15,240,240,train
20085254,1,135,353,168,391,0.63125,1.55,0.1375,0.15833333333333333,240,240,train
20085254,2,306,142,353,166,1.3729166666666666,0.6416666666666667,0.19583333333333333,0.1,240,240,train
20085254,3,53,396,79,422,0.275,1.7041666666666666,0.10833333333333334,0.10833333333333334,240,240,train
20085254,3,230,520,261,547,1.0229166666666667,2.222916666666667,0.12916666666666668,0.1125,240,240,train
20085254,5,205,284,238,324,0.9229166666666667,1.2666666666666666,0.1375,0.16666666666666666,240,240,train
20085254,6,80,440,107,465,0.38958333333333334,1.8854166666666667,0.1125,0.10416666666666667,240,240,train
20085254,5,275,444,306,471,1.2104166666666667,1.90625,0.12916666666666668,0.1125,240,240,train
20085254,4,262,384,291,415,1.1520833333333333,1.6645833333333333,0.12083333333333333,0.12916666666666668,240,240,train
20085148,1,327,213,364,247,1.4395833333333334,0.9583333333333334,0.15416666666666667,0.14166666666666666,240,240,train
20085148,2,332,320,387,346,1.4979166666666666,1.3875,0.22916666666666666,0.10833333333333334,240,240,train
20085148,2,413,242,465,267,1.8291666666666666,1.0604166666666666,0.21666666666666667,0.10416666666666667,240,240,train
20085148,4,257,470,292,496,1.14375,2.0125,0.14583333333333334,0.10833333333333334,240,240,train
20085148,3,195,432,222,460,0.86875,1.8583333333333334,0.1125,0.11666666666666667,240,240,train
20085148,5,87,282,118,312,0.4270833333333333,1.2375,0.12916666666666668,0.125,240,240,train
20085148,6,185,155,215,188,0.8333333333333334,0.7145833333333333,0.125,0.1375,240,240,train
20085148,4,386,163,416,193,1.6708333333333334,0.7416666666666667,0.125,0.125,240,240,train
20085148,2,373,68,434,101,1.68125,0.35208333333333336,0.25416666666666665,0.1375,240,240,train
00041085,1,346,101,374,143,1.5,0.5083333333333333,0.11666666666666667,0.175,240,240,train
00041085,2,323,231,391,257,1.4875,1.0166666666666666,0.2833333333333333,0.10833333333333334,240,240,train
00041085,3,174,253,217,291,0.8145833333333333,1.1333333333333333,0.17916666666666667,0.15833333333333333,240,240,train
00041085,5,215,497,251,531,0.9708333333333333,2.1416666666666666,0.15,0.14166666666666666,240,240,train
00041085,6,132,389,201,423,0.69375,1.6916666666666667,0.2875,0.14166666666666666,240,240,train
00041085,4,102,326,147,365,0.51875,1.4395833333333334,0.1875,0.1625,240,240,train
50600018,1,39,187,73,213,0.23333333333333334,0.8333333333333334,0.14166666666666666,0.10833333333333334,240,240,train
50600018,2,26,70,64,97,0.1875,0.34791666666666665,0.15833333333333333,0.1125,240,240,train
50600018,3,142,112,175,136,0.6604166666666667,0.5166666666666667,0.1375,0.1,240,240,train
50600018,6,342,260,368,298,1.4791666666666667,1.1625,0.10833333333333334,0.15833333333333333,240,240,train
50600018,4,209,190,248,224,0.9520833333333333,0.8625,0.1625,0.14166666666666666,240,240,train
20085094,1,221,579,250,612,0.98125,2.48125,0.12083333333333333,0.1375,240,240,train
20085094,2,427,471,472,497,1.8729166666666666,2.0166666666666666,0.1875,0.10833333333333334,240,240,train
20085094,3,306,327,333,351,1.33125,1.4125,0.1125,0.1,240,240,train
20085094,3,499,186,530,212,2.14375,0.8291666666666667,0.12916666666666668,0.10833333333333334,240,240,train
20085094,5,331,570,361,602,1.4416666666666667,2.441666666666667,0.125,0.13333333333333333,240,240,train
13000128,3,332,306,376,333,1.475,1.33125,0.18333333333333332,0.1125,240,240,train
13000128,2,135,37,185,63,0.6666666666666666,0.20833333333333334,0.20833333333333334,0.10833333333333334,240,240,train
13000128,4,353,402,390,431,1.5479166666666666,1.7354166666666666,0.15416666666666667,0.12083333333333333,240,240,train
13000128,5,409,305,441,355,1.7708333333333333,1.375,0.13333333333333333,0.20833333333333334,240,240,train
20085211,1,212,56,243,85,0.9479166666666666,0.29375,0.12916666666666668,0.12083333333333333,240,240,train
20085211,1,49,382,78,416,0.26458333333333334,1.6625,0.12083333333333333,0.14166666666666666,240,240,train
20085211,2,415,124,471,164,1.8458333333333334,0.6,0.23333333333333334,0.16666666666666666,240,240,train
20085211,2,52,67,83,95,0.28125,0.3375,0.12916666666666668,0.11666666666666667,240,240,train
20085211,3,515,541,539,572,2.1958333333333333,2.31875,0.1,0.12916666666666668,240,240,train
20085211,3,26,73,50,107,0.15833333333333333,0.375,0.1,0.14166666666666666,240,240,train
20085211,5,410,225,438,258,1.7666666666666666,1.00625,0.11666666666666667,0.1375,240,240,train
20085211,6,348,97,375,122,1.50625,0.45625,0.1125,0.10416666666666667,240,240,train
13000007,1,201,244,239,272,0.9166666666666666,1.075,0.15833333333333333,0.11666666666666667,240,240,train
13000007,2,77,262,110,286,0.38958333333333334,1.1416666666666666,0.1375,0.1,240,240,train
13000007,3,498,499,531,523,2.14375,2.129166666666667,0.1375,0.1,240,240,train
13000007,4,304,321,336,347,1.3333333333333333,1.3916666666666666,0.13333333333333333,0.10833333333333334,240,240,train
13000007,5,21,352,55,385,0.15833333333333333,1.5354166666666667,0.14166666666666666,0.1375,240,240,train
13000007,6,415,229,446,254,1.79375,1.00625,0.12916666666666668,0.10416666666666667,240,240,train
13000007,4,250,122,282,146,1.1083333333333334,0.5583333333333333,0.13333333333333333,0.1,240,240,train
50600041,1,136,457,177,498,0.6520833333333333,1.9895833333333333,0.17083333333333334,0.17083333333333334,240,240,train
50600041,2,347,374,383,419,1.5208333333333333,1.6520833333333333,0.15,0.1875,240,240,train
50600041,4,294,420,334,463,1.3083333333333333,1.8395833333333333,0.16666666666666666,0.17916666666666667,240,240,train
50600041,6,320,277,354,312,1.4041666666666666,1.2270833333333333,0.14166666666666666,0.14583333333333334,240,240,train
50600041,4,400,192,430,225,1.7291666666666667,0.86875,0.125,0.1375,240,240,train
50600041,5,453,439,489,470,1.9625,1.89375,0.15,0.12916666666666668,240,240,train
20085048,1,444,375,479,420,1.9229166666666666,1.65625,0.14583333333333334,0.1875,240,240,train
20085048,1,290,391,353,456,1.3395833333333333,1.7645833333333334,0.2625,0.2708333333333333,240,240,train
20085048,3,418,485,452,518,1.8125,2.089583333333333,0.14166666666666666,0.1375,240,240,train
20085048,5,90,405,128,442,0.45416666666666666,1.7645833333333334,0.15833333333333333,0.15416666666666667,240,240,train
20085048,6,194,151,232,190,0.8875,0.7104166666666667,0.15833333333333333,0.1625,240,240,train
20085048,4,32,218,64,254,0.2,0.9833333333333333,0.13333333333333333,0.15,240,240,train
20085048,6,431,171,469,204,1.875,0.78125,0.15833333333333333,0.1375,240,240,train
13000135,1,175,444,237,518,0.8583333333333333,2.004166666666667,0.25833333333333336,0.30833333333333335,240,240,train
13000135,3,200,294,238,335,0.9125,1.3104166666666666,0.15833333333333333,0.17083333333333334,240,240,train
13000135,6,419,170,473,224,1.8583333333333334,0.8208333333333333,0.225,0.225,240,240,train
13000135,6,156,95,214,142,0.7708333333333334,0.49375,0.24166666666666667,0.19583333333333333,240,240,train
13000135,5,233,345,292,404,1.09375,1.5604166666666666,0.24583333333333332,0.24583333333333332,240,240,train
13000008,1,160,303,200,328,0.75,1.3145833333333334,0.16666666666666666,0.10416666666666667,240,240,train
13000008,2,420,258,447,302,1.80625,1.1666666666666667,0.1125,0.18333333333333332,240,240,train
13000008,2,147,384,188,412,0.6979166666666666,1.6583333333333334,0.17083333333333334,0.11666666666666667,240,240,train
13000008,3,183,156,219,183,0.8375,0.70625,0.15,0.1125,240,240,train
